,location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
4799,West Union,ADAMS,US,so2,0.0,2020-05-20 04:00:00+00:00,ppm,AirNow,38.79471,-83.53399,1.0
4800,Echo Summit (seasona,Sacramento--Arden-Arcade--Roseville,US,o3,0.042,2019-11-13 18:00:00+00:00,ppm,AirNow,38.81161,-120.03308,1.0
4801,PG Equestrian Center,Washington-Arlington-Alexandria,US,o3,0.039,2020-05-20 04:00:00+00:00,ppm,AirNow,38.81207,-76.74419,1.0
4802,EBAM8 - Broadway W,PROXY SITE - CA - CONSTANT,US,pm25,10.0,2018-11-03 20:00:00+00:00,µg/m³,AirNow,38.8303,-122.722,1.0
4803,Colorado Springs - H,Colorado Springs,US,co,0.2,2020-05-20 04:00:00+00:00,ppm,AirNow,38.830894,-104.83924,1.0
4804,Colorado Springs - H,Colorado Springs,US,so2,0.0,2020-05-20 04:00:00+00:00,ppm,AirNow,38.830894,-104.83924,1.0
4805,Heritage Park,Kansas City,US,o3,0.027,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8386,-94.7464,1.0
4806,Heritage Park,Kansas City,US,pm25,2.3,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.8386,-94.7464,1.0
4807,Colorado College,Colorado Springs,US,pm25,5.7,2020-05-20 04:00:00+00:00,µg/m³,AirNow,38.848,-104.8286,1.0
4808,Manitou Springs,Colorado Springs,US,o3,0.057,2020-05-20 04:00:00+00:00,ppm,AirNow,38.853096,-104.90128,1.0
4809,JAMES S. LONG PARK,Washington-Arlington-Alexandria,US,no2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8553,-77.6356,1.0
4810,JAMES S. LONG PARK,Washington-Arlington-Alexandria,US,o3,0.039,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8553,-77.6356,1.0
4811,AURORA HILLS,Washington-Arlington-Alexandria,US,co,0.1,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8594,-77.0589,1.0
4812,AURORA HILLS,Washington-Arlington-Alexandria,US,no2,0.002,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8594,-77.0589,1.0
4813,AURORA HILLS,Washington-Arlington-Alexandria,US,o3,0.037,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8594,-77.0589,1.0
4814,WOOD_WTP,St. Louis,US,o3,0.026,2020-05-20 04:00:00+00:00,ppm,AirNow,38.8606,-90.1058,1.0
